Acura,Integra Coupé GS-R,1994,United States of America,17500,Coupé,Sports Cars,Factory,Integra,true,true,Petrol,I4,1797,Naturally Aspirated,172,174,FWD,Manual,5,1210,215,6.4
Acura,Integra Coupé Type R,1994,United States of America,24000,Coupé,Sports Cars,Factory,Integra,true,true,Petrol,I4,1797,Naturally Aspirated,198,177,FWD,Manual,5,1198,218,6.2
Acura,Integra Sedan GS-R,1994,United States of America,16900,Mid-Size,Super Saloons,Factory,Integra,true,true,Petrol,I4,1797,Naturally Aspirated,172,174,FWD,Manual,5,1240,215,6.5
Acura,MDX 3.5 (YD1),2001,United States of America,7800,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,243,333,AWD,Automatic,5,1990,180,8.2
Acura,MDX 3.5 (YD1),2003,United States of America,8000,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,264,339,AWD,Automatic,5,2005,190,8.1
Acura,MDX 3.7 (YD2),2007,United States of America,11000,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3663,Naturally Aspirated,304,366,FWD,Automatic,6,2055,210,7.3
Acura,MDX 3.7 AWD (YD2),2007,United States of America,12000,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3664,Naturally Aspirated,304,366,AWD,Automatic,6,2145,225,6.8
Acura,MDX 3.5 (YD3),2014,United States of America,23000,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,294,362,FWD,Automatic,6,1826,205,7.3
Acura,MDX 3.5 AWD (YD3),2014,United States of America,29900,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,294,362,AWD,Automatic,6,1944,230,6.8
Acura,MDX 3.5 AWD SportShift (YD3),2017,United States of America,34000,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,300,365,AWD,Automatic,9,1944,235,6.8
Acura,MDX 3.5 SportShift (YD3),2017,United States of America,32000,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,300,365,FWD,Automatic,9,1826,210,7.3
Acura,MDX Sport Hybrid (YD3),2017,United States of America,49600,S.U.V.,Super S.U.V.,Factory,MDX,false,true,Plug-in Hybrid (Petrol),V6,3471,Naturally Aspirated,325,392,AWD,Automatic,7,2034,240,6.0
Acura,MDX 3.5 i-VTEC 295 (YD4),2021,United States of America,49925,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,294,362,FWD,Automatic,10,1937,230,6.7
Acura,MDX 3.5 i-VTEC 295 AWD (YD4),2021,United States of America,54500,S.U.V.,S.U.V.,Factory,MDX,false,true,Petrol,V6,3471,Naturally Aspirated,294,362,AWD,Automatic,10,1967,235,6.5
Acura,MDX Type S (YD4),2021,United States of America,67895,S.U.V.,Super S.U.V.,Factory,MDX,false,true,Petrol,V6,2997,Single Turbocharger,360,480,AWD,Automatic,10,2151,250,5.5
Acura,NSX (NA1),1991,United States of America,65965,Coupé,Supercars,Factory,NSX,true,true,Petrol,V6,2977,Naturally Aspirated,274,284,RWD,Manual,5,1365,270,5.6
Acura,NSX Automatic (NA1),1991,United States of America,64965,Coupé,Supercars,Factory,NSX,true,true,Petrol,V6,2977,Naturally Aspirated,256,285,RWD,Automatic,4,1405,266,5.9
Acura,NSX-T (NA1),1995,United States of America,78000,Targa,Supercars,Factory,NSX,true,true,Petrol,V6,2977,Naturally Aspirated,274,285,RWD,Manual,5,1425,265,5.8
Acura,NSX-T Automatic (NA1),1995,United States of America,64000,Targa,Supercars,Factory,NSX,true,true,Petrol,V6,2977,Naturally Aspirated,256,285,RWD,Automatic,4,1455,265,6.0
Acura,NSX (NA1),1997,United States of America,74500,Coupé,Supercars,Factory,NSX,true,true,Petrol,V6,3179,Naturally Aspirated,294,298,RWD,Manual,6,1445,270,5.5
